start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
14.47719,0.20957,0.71,-43.467,0.029,-31.376,0.0,"[1.0, 0.691, 0.27, 0.224, 0.475, 0.76, 0.319, 0.193, 0.197, 0.367, 0.19, 0.399]","[20.117, 132.191, -122.872, 85.636, 22.895, -44.13, -46.772, -33.802, -2.227, -41.328, -20.454, 12.303]"
14.68676,0.3483,1.0,-51.747,0.07474,-10.851,0.0,"[0.803, 0.172, 0.202, 0.32, 0.476, 1.0, 0.159, 0.284, 0.276, 0.119, 0.131, 0.987]","[20.746, -16.657, -21.45, -192.693, 50.046, 79.572, 20.999, -14.555, -0.289, 24.906, -103.046, 30.426]"
15.03506,0.26132,0.567,-44.327,0.01003,-35.057,0.0,"[0.34, 0.238, 0.13, 0.235, 0.302, 1.0, 0.185, 0.187, 0.271, 0.625, 0.253, 0.227]","[18.202, 56.316, -85.713, 65.157, 53.654, -75.134, -16.186, -53.766, 7.102, 10.01, -27.965, 24.717]"
15.29637,0.28313,1.0,-49.056,0.02143,-8.684,0.0,"[0.898, 0.646, 0.192, 0.622, 0.7, 0.539, 0.319, 0.465, 0.27, 0.121, 0.132, 1.0]","[38.957, 73.432, -127.05, 183.575, -12.778, -53.074, -40.325, 32.802, 14.482, -37.949, -60.853, 27.495]"
15.5795,0.11125,0.934,-45.514,0.01905,-32.229,0.0,"[0.633, 0.285, 0.251, 0.477, 0.333, 0.416, 0.411, 0.558, 0.769, 1.0, 0.57, 0.381]","[23.277, 141.003, -24.393, 41.16, 56.347, -43.41, -10.786, -56.473, 4.829, 17.706, -14.6, 14.283]"
15.69075,0.09524,1.0,-41.404,0.03696,-21.445,0.0,"[1.0, 0.829, 0.311, 0.288, 0.501, 0.866, 0.56, 0.361, 0.349, 0.402, 0.515, 0.324]","[32.341, -70.856, -32.424, -28.681, 22.21, 70.498, 3.689, -19.283, 8.625, 23.263, 16.037, 9.244]"
15.78599,0.28726,0.991,-29.029,0.06783,-11.163,0.0,"[0.808, 0.315, 0.188, 0.213, 0.797, 0.852, 0.134, 0.323, 0.348, 0.074, 0.197, 1.0]","[35.315, -29.932, -107.693, 26.068, -2.144, 35.727, -22.364, 28.121, 26.663, -32.082, -59.788, 18.592]"
16.07324,0.30585,1.0,-40.972,0.05113,-19.671,0.0,"[0.533, 0.104, 0.138, 0.069, 0.764, 1.0, 0.078, 0.056, 0.25, 0.093, 0.056, 0.575]","[28.194, -112.15, -65.638, 6.415, 39.147, 49.154, 26.13, -26.886, -0.087, 0.509, -64.504, 18.761]"
16.37909,0.28485,1.0,-38.262,0.01952,-9.208,0.0,"[0.479, 0.203, 0.383, 0.745, 0.346, 0.169, 0.085, 1.0, 0.952, 0.065, 0.126, 0.54]","[40.397, 9.523, -124.369, 120.375, -5.58, -22.643, -16.277, -30.906, 1.043, -25.445, -18.996, 17.494]"
16.66395,0.13374,0.978,-35.328,0.01295,-19.369,0.0,"[1.0, 0.425, 0.429, 0.385, 0.654, 0.726, 0.146, 0.15, 0.498, 0.381, 0.237, 0.678]","[33.378, -81.547, -123.654, 41.473, 34.304, -91.297, 11.491, -31.14, 1.87, -6.042, -29.531, 34.706]"
16.79769,0.11107,0.858,-36.213,0.01598,-20.675,0.0,"[0.279, 0.544, 0.231, 0.215, 0.639, 0.708, 0.541, 0.543, 0.595, 1.0, 0.815, 0.188]","[33.286, -133.028, -80.327, 39.028, -2.531, -58.233, 4.536, -50.967, -10.014, 13.751, -2.602, 20.137]"
16.90875,0.29084,1.0,-32.46,0.04081,-12.482,0.0,"[0.602, 0.329, 0.079, 0.368, 0.408, 0.361, 0.103, 0.192, 0.224, 0.352, 0.487, 1.0]","[35.41, -32.365, -76.828, 59.616, 15.726, 88.229, 40.636, 5.793, 44.973, -109.436, -5.381, 2.613]"
17.19959,0.25057,0.815,-37.293,0.02553,-26.535,0.0,"[0.52, 0.135, 0.08, 0.234, 0.199, 0.72, 0.123, 0.071, 0.378, 1.0, 0.452, 0.229]","[28.015, -8.993, 8.542, 60.394, 80.68, -9.734, 58.04, -83.536, 5.6, -26.063, 22.899, 15.282]"
17.45016,0.30685,1.0,-37.669,0.04556,-8.207,0.0,"[0.676, 0.606, 0.533, 0.556, 0.453, 0.561, 0.119, 0.402, 0.323, 0.197, 0.265, 1.0]","[36.085, -4.63, -17.972, 18.08, 48.636, 143.258, 52.97, 54.293, 30.559, -76.866, -21.461, 6.951]"
17.75701,0.27333,0.573,-34.792,0.02562,-28.519,0.0,"[0.723, 0.117, 0.095, 0.289, 0.269, 0.958, 0.103, 0.281, 0.547, 1.0, 0.496, 0.275]","[28.131, -52.696, 42.163, 54.681, 74.712, -60.307, 54.73, -56.005, -10.792, 4.664, -2.977, 17.002]"
18.03034,0.26676,1.0,-34.305,0.02121,-11.133,0.0,"[1.0, 0.271, 0.145, 0.122, 0.577, 0.398, 0.1, 0.118, 0.338, 0.15, 0.095, 0.725]","[38.88, -30.284, -82.182, 105.584, 2.913, -0.8, 26.761, -61.217, 5.38, -2.808, 25.246, 14.578]"
18.2971,0.22635,0.664,-32.161,0.02954,-24.01,0.0,"[0.841, 0.332, 0.136, 0.524, 0.377, 1.0, 0.23, 0.526, 0.446, 0.792, 0.251, 0.311]","[31.505, -52.618, 24.126, 49.544, 50.309, -24.505, 69.755, -38.034, 6.184, -46.5, 6.788, 0.477]"
18.52345,0.32544,1.0,-34.017,0.07111,-9.918,0.0,"[0.914, 0.532, 0.474, 0.646, 1.0, 0.695, 0.205, 0.358, 0.32, 0.191, 0.268, 0.789]","[33.361, -57.787, 30.688, -58.498, 19.167, 49.87, 34.615, 47.505, 2.149, -50.055, -75.5, 31.429]"
18.84889,0.22689,0.614,-33.806,0.02965,-26.015,0.0,"[0.588, 0.32, 0.109, 0.399, 0.216, 1.0, 0.179, 0.239, 0.274, 0.203, 0.141, 0.261]","[29.826, -7.69, -5.996, 52.108, 67.736, -38.147, 40.694, -74.966, -16.019, -8.883, -14.753, 4.621]"
19.07578,0.32376,1.0,-35.253,0.05529,-10.763,0.0,"[1.0, 0.28, 0.223, 0.25, 0.466, 0.609, 0.117, 0.247, 0.39, 0.174, 0.093, 0.866]","[33.557, -62.094, -4.975, -26.436, 31.82, 94.731, 32.354, 21.111, 21.255, -64.441, -72.715, 12.141]"
19.39955,0.26626,0.698,-33.355,0.2292,-23.225,0.0,"[0.25, 0.106, 0.092, 0.31, 0.316, 1.0, 0.078, 0.067, 0.177, 0.058, 0.125, 0.13]","[33.65, 37.268, 24.288, -56.084, 51.547, -28.966, 1.202, 9.826, 30.444, 18.288, 8.63, 2.006]"
19.6658,0.29175,1.0,-24.307,0.02071,-9.617,0.0,"[1.0, 0.625, 0.273, 0.571, 0.371, 0.682, 0.222, 0.392, 0.363, 0.283, 0.334, 0.997]","[43.097, 41.764, -58.898, 76.163, 4.793, -70.813, -4.241, -21.096, 9.926, -19.821, -17.661, 17.936]"
19.95755,0.11642,0.459,-26.397,0.01523,-20.825,0.0,"[0.452, 0.238, 0.1, 0.368, 0.401, 1.0, 0.262, 0.149, 0.499, 0.572, 0.649, 0.54]","[37.095, -43.53, 52.239, 17.158, 51.816, -57.926, 58.75, -35.966, -7.706, 36.398, -8.922, -0.335]"
20.07397,0.12159,0.505,-24.494,0.02193,-18.2,0.0,"[1.0, 0.849, 0.371, 0.462, 0.67, 0.745, 0.37, 0.341, 0.388, 0.436, 0.415, 0.415]","[38.724, -87.154, 28.158, 7.34, -6.949, -48.027, 28.185, 6.168, 3.964, 14.368, 18.488, 0.697]"
20.19556,0.26122,0.868,-23.967,0.02491,-11.252,0.0,"[0.631, 0.147, 0.08, 0.137, 0.419, 1.0, 0.083, 0.169, 0.282, 0.116, 0.086, 0.58]","[41.69, -0.584, -49.992, 53.764, -6.106, -22.108, 18.532, -35.561, 18.068, -18.442, 16.384, -5.924]"
20.45678,0.27873,1.0,-24.774,0.03668,-9.946,0.0,"[0.816, 0.146, 0.264, 0.336, 0.907, 0.892, 0.204, 0.133, 0.785, 0.355, 0.181, 1.0]","[44.207, 50.482, -12.689, 35.127, 16.559, 7.117, -2.73, -8.98, -15.788, 14.113, -20.337, -20.088]"
20.73551,0.28463,0.999,-20.98,0.02554,-7.746,0.0,"[0.603, 0.208, 0.417, 0.652, 0.273, 0.657, 0.182, 0.562, 1.0, 0.186, 0.232, 0.487]","[47.249, 17.229, -2.917, 74.633, 4.958, -22.439, 2.281, -25.818, -6.384, 22.916, -45.467, -5.998]"
21.02014,0.10467,0.64,-22.736,0.04362,-16.336,0.0,"[1.0, 0.646, 0.36, 0.316, 0.59, 0.686, 0.189, 0.092, 0.351, 0.299, 0.333, 0.704]","[41.705, -45.044, 33.756, -0.404, -11.041, -17.765, 37.356, -2.48, -36.234, -13.423, 9.358, 19.767]"
21.12481,0.16821,0.407,-19.635,0.08429,-14.673,0.0,"[0.38, 0.249, 0.156, 0.353, 0.294, 0.201, 0.195, 0.221, 0.681, 1.0, 0.961, 0.154]","[43.328, -61.922, 47.32, -17.015, -10.965, -18.936, 11.841, -1.392, -18.397, 5.755, -13.352, 1.494]"
